  1        2,4,5-TP     2600.0 0.40     5.0    20.0 0.75     2.5        0.00 Silvex
  2        2 Plus 2       20.0 0.95    10.0    21.0 0.75660000.0        0.00 Mecoprop Amine
  3          Aatrex      100.0 0.45     5.0    60.0 0.75    33.0        0.00 Atrazine
  4           Abate   100000.0 0.65     5.0    30.0 0.75     0.0        0.00 Temephos
  5        Acaraben     2000.0 0.05    10.0    20.0 0.75    13.0        0.00 Chlorobenzilate
  6      Accelerate       20.0 0.90     7.0     7.0 0.75100000.0        0.00 Endothall Salt
  7         Acclaim     9490.0 0.20     5.0     9.0 0.75     0.8        0.00 Fenoxaprop-Ethyl
  8          Alanap       20.0 0.95     7.0    14.0 0.75231000.0        0.00 Naptalam Sodium Salt
  9            Alar       10.0 0.95     4.0     7.0 0.75100000.0        0.00 Daminozide
 10          Aldrin      300.0 0.05     2.0    28.0 0.75     0.1        0.00 Aldrin
 11         Aliette       20.0 0.95     0.1     0.1 0.75120000.0        0.00 Fosetyl-Aluminum
 12            Ally       35.0 0.80    30.0   120.0 0.75  9500.0        0.00 Metsulfuron-Methyl
 13          Amiben       15.0 0.95     7.0    14.0 0.75900000.0        0.00 Chloramben Salts
 14     Amid-Thin W      100.0 0.60     5.0    10.0 0.75   100.0        0.00 NAA Amide
 15       Amitrol T      100.0 0.95     5.0    14.0 0.75360000.0        0.00 Amitrole
 16            Ammo   100000.0 0.40     5.0    30.0 0.75     0.0        0.00 Cypermethrin
 17           Antor     1400.0 0.40    10.0    21.0 0.75   105.0        0.00 Diethatyl-Ethyl
 18          A-Rest      120.0 0.50    30.0   120.0 0.75   650.0        0.00 Ancymidol
 19         Arsenal      100.0 0.90    30.0    90.0 0.75 11000.0        0.00 Imazapyr Acid
 20        Arsonate    10000.0 0.95    30.0   100.0 0.751000000.        0.00 MSMA
 21           Asana     5300.0 0.40     8.0    35.0 0.75     0.0        0.00 Esfenvalerate
 22      Assert (m)       66.0 0.65    18.0    35.0 0.75  1370.0        0.00 Imazamethabenz-m
 23      Assert (p)       35.0 0.65    18.0    35.0 0.75   875.0        0.00 Imazamethabenz-p
 24          Assure      510.0 0.20    15.0    60.0 0.75     0.3        0.00 Quizalofop-Ethyl
 25          Asulox       40.0 0.95     3.0     7.0 0.75550000.0        0.00 Asulam Sodium Salt
 26          Avenge    54500.0 0.95    30.0   100.0 0.75817000.0        0.00 Difenzoquat
 27         Azodrin        1.0 0.95     2.0    30.0 0.751000000.        0.00 Monocrotophos
 28           Balan     9000.0 0.20    10.0    30.0 0.75     0.1        0.00 Benefin
 29           Banol  1000000.0 0.95    15.0    30.0 0.751000000.        0.00 Propamocarb
 30          Banvel        2.0 0.65     9.0    14.0 0.75400000.0        0.00 Dicamba
 31        Basagran       34.0 0.60     2.0    20.0 0.752300000.        0.00 Bentazon
 32           Basta      100.0 0.95     4.0     7.0 0.751370000.        0.00 Glufosinate Ammonia
 33        Bayleton      300.0 0.30     8.0    26.0 0.75    71.5        0.00 Triadimefon
 34          Baytex     1500.0 0.65     2.0    34.0 0.75     4.2        0.00 Fenthion
 35       Baythroid   100000.0 0.40     5.0    30.0 0.75     0.0        0.00 Cyfluthrin
 36         Benlate     1900.0 0.25     6.0   240.0 0.75     2.0        0.00 Benomyl
 37          Benzex    55000.0 0.05     3.0   600.0 0.75     0.1        0.00 BHC
 38         Betamix     2400.0 0.70     5.0    30.0 0.75     4.7        0.00 Phenmedipham
 39         Betanex     1500.0 0.70     5.0    30.0 0.75     8.0        0.00 Desmedipham
 40          Bidrin       75.0 0.70    20.0    28.0 0.751000000.        0.00 Dicrotophos
 41          Bladex      190.0 0.60     5.0    14.0 0.75   170.0        0.00 Cyanazine
 42          Bolero      900.0 0.70     7.0    21.0 0.75    28.0        0.00 Thiobencarb
 43         Bolstar    12000.0 0.55     0.5   140.0 0.75     0.3        0.00 Sulprofos
 44    Bordermaster     1000.0 0.50     8.0    25.0 0.75     5.0        0.00 MCPA Ester
 45          Botran     1000.0 0.50     4.0    10.0 0.75     7.0        0.00 DCNA (Dicloran)
 46           Bravo     1380.0 0.50     5.0    30.0 0.75     0.6        0.00 Chlorothalonil
 47         Buctril    10000.0 0.20     3.0     7.0 0.75     0.1        0.00 Bromoxynil Octan. Est
 48   Butyrac Ester      500.0 0.45     7.0     7.0 0.75     8.0        0.00 2,4-DB Ester
 49         Caparol      400.0 0.50    10.0    60.0 0.75    33.0        0.00 Prometryn
 50       Carbamate      300.0 0.90     3.0    17.0 0.75   120.0        0.00 Ferbam
 51        Carsoron      400.0 0.45     5.0    60.0 0.75    21.2        0.00 Dichlobenil
 52          Carzol  1000000.0 0.95    30.0   100.0 0.75500000.0        0.00 Formetanate Hydrochlo
 53          Cerone   100000.0 0.95     5.0    10.0 0.751239000.        0.00 Ethephon
 54        Chem-Hoe      200.0 0.50     2.0    10.0 0.75   250.0        0.00 Propham (IPC)
 55       Chlordane   100000.0 0.05     2.5   100.0 0.75     0.1        0.00 Chlordane
